timestamp,elapsed_time,rss_memory_mb,virtual_memory_mb,memory_percent
2024-12-03T01:10:28.001924,1.46,55.59,44.64,0.17
2024-12-03T01:10:28.001924,1.46,55.60,44.64,0.17
2024-12-03T01:10:28.002934,1.46,55.60,44.64,0.17
2024-12-03T01:10:28.019959,1.48,55.50,44.46,0.17
2024-12-03T01:10:30.281905,3.74,55.61,44.64,0.17
2024-12-03T01:10:30.285931,3.75,55.61,44.64,0.17
2024-12-03T01:10:30.286945,3.75,55.61,44.64,0.17
2024-12-03T01:10:30.318729,3.78,55.52,44.46,0.17
2024-12-03T01:10:32.508343,5.96,55.61,44.64,0.17
2024-12-03T01:10:32.509423,5.97,55.61,44.64,0.17
2024-12-03T01:10:32.510448,5.97,55.61,44.64,0.17
2024-12-03T01:10:32.529423,5.99,55.52,44.46,0.17
2024-12-03T01:10:34.723503,8.17,55.62,44.68,0.17
2024-12-03T01:10:34.723503,8.19,55.62,44.68,0.17
2024-12-03T01:10:34.724491,8.19,55.62,44.68,0.17
2024-12-03T01:10:34.742506,8.20,55.53,44.51,0.17
2024-12-03T01:10:36.923030,10.38,55.64,44.69,0.17
2024-12-03T01:10:36.924024,10.39,55.64,44.69,0.17
2024-12-03T01:10:36.924024,10.39,55.64,44.69,0.17
2024-12-03T01:10:36.939025,10.40,55.54,44.51,0.17
2024-12-03T01:10:48.940445,22.40,55.54,44.51,0.17
